,Title,Authors,Published,Link
161,IoT Based Fall Detection System for Elderly Healthcare,"Ahsen Tahir, William Taylor, Ahmad Taha, Muhammad Usman, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>, Muhammad Ali Imran, Qammer H. Abbasi",2022-02-25,https://pureportal.coventry.ac.uk/en/publications/iot-based-fall-detection-system-for-elderly-healthcare
162,ISIATasker: Task Allocation for Instant-SensingߝInstant-Actuation Mobile Crowdsensing: Task Allocation for Instant-Sensing-Instant-Actuation Mobile Crowd Sensing,"Houchun Yin, Zhiwen Yu, Liang Wang, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang"" rel=""Person""><span>Jiangtao Wang</span></a>, Lei Han, Bin Guo",2022-03-01,https://pureportal.coventry.ac.uk/en/publications/isiatasker-task-allocation-for-instant-sensing%DF%9Dinstant-actuation-
163,Is there any putative mediatory role of inflammatory markers on the association between ultra-processed foods and resting metabolic rate?,"Niki Bahrampour, Farideh Shiraseb, Sahar Noori, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Khadijeh Mirzaei",2022-10-13,https://pureportal.coventry.ac.uk/en/publications/is-there-any-putative-mediatory-role-of-inflammatory-markers-on-t
164,Let down by Low Expectations: A Qualitative Interview/participatory Photography Study of Feeding Problems in Autistic Children,"Zoe Lindsay Connor, Kathleen Hennessy-Priest, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey"" rel=""Person""><span>Rosie Kneafsey</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/deborah-lycett"" rel=""Person""><span>Deborah Lycett</span></a>",2022-03-21,https://pureportal.coventry.ac.uk/en/publications/let-down-by-low-expectations-a-qualitative-interviewparticipatory
165,Lifestyle factors and fetal and childhood origins of type 2 diabetes: A prospective study of Chinese and European adults,China Kadoorie Biobank (CKB) collaborative group,2022-03-01,https://pureportal.coventry.ac.uk/en/publications/lifestyle-factors-and-fetal-and-childhood-origins-of-type-2-diabe
166,"Longitudinal association of movement behaviour and motor competence in childhood: A structural equation model, compositional, and isotemporal substitution analysis","Isaac Estevan, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain Clark</span></a>, Javier Molina-García, Cristina Menescardi, Victoria Barton, Ana Queralt",2022-08-01,https://pureportal.coventry.ac.uk/en/publications/longitudinal-association-of-movement-behaviour-and-motor-competen
167,M3Care: Learning with Missing Modalities in Multimodal Healthcare Data,"Chaohe Zhang, Xu Chu, Liantao Ma, Yinghao Zhu, Yasha Wang, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang"" rel=""Person""><span>Jiangtao Wang</span></a>, Junfeng Zhao",2022-08-14,https://pureportal.coventry.ac.uk/en/publications/m3care-learning-with-missing-modalities-in-multimodal-healthcare-
168,Machine learning empowered COVID-19 patient monitoring using non-contact sensing: An extensive review,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/umer-saeed"" rel=""Person""><span>Umer Saeed</span></a>, Syed Yaseen Shah, Ahmad Jawad, Muhammad Ali Imran , Qammer H. Abbasi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>",2022-04-01,https://pureportal.coventry.ac.uk/en/publications/machine-learning-empowered-covid-19-patient-monitoring-using-non-
169,Managing idiopathic intracranial hypertension in pregnancy: practical advice,"Mark Thaller, Benjamin R Wakerley, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/sally-abbott"" rel=""Person""><span>Sally Abbott</span></a>, Abd A Tahrani, Susan P Mollan, Alexandra J Sinclair",2022-04-21,https://pureportal.coventry.ac.uk/en/publications/managing-idiopathic-intracranial-hypertension-in-pregnancy-practi
170,Marginal voices: Exploring presence and participation in interaction in child protection conferences,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/eleanor-lutman-white"" rel=""Person""><span>Eleanor Lutman-White</span></a>, Jo Angouri",2022-05-01,https://pureportal.coventry.ac.uk/en/publications/marginal-voices-exploring-presence-and-participation-in-interacti
171,MARVAir: Meteorology Augmented Residual-based Visual Approach for Crowdsourcing Air Quality Inference,"Muyan Yao, Dan Tao, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang"" rel=""Person""><span>Jiangtao Wang</span></a>, Ruipeng Gao, Kunning Sun",2022-01-01,https://pureportal.coventry.ac.uk/en/publications/marvair-meteorology-augmented-residual-based-visual-approach-for-
172,Mediatory Effect of Inflammatory Markers (IL-1β and PAI-1) on Association of Dietary Total Antioxidant Capacity and Body Composition in Overweight and Obese Women: A Cross-Sectional Study,"Parisa Radkhah, Atieh Mirzababaei, Farideh Shiraseb, Dorsa Hosseininasab, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Khadijeh Mirzaei",2022-05-23,https://pureportal.coventry.ac.uk/en/publications/mediatory-effect-of-inflammatory-markers-il-1%CE%B2-and-pai-1-on-assoc
173,Medicinal plant compounds as promising inhibitors of coronavirus (COVID-19) main protease: an in silico study,"Navid Jamali, Ehsan Heidari Soureshjani, Gholam-Reza Mobini, Mohammad Samare-Najaf, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C T Clark</span></a>, Javad Saffari-Chaleshtori",2022-11-22,https://pureportal.coventry.ac.uk/en/publications/medicinal-plant-compounds-as-promising-inhibitors-of-coronavirus-
174,Medicines prescribing for homeless persons: analysis of prescription data from specialist homelessness general practices,"Aleena Khan, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/om-kurmi"" rel=""Person""><span>Om Kurmi</span></a>, Richard Lowrie, Saval Khanal, Vibhu Paudyal",2022-06-01,https://pureportal.coventry.ac.uk/en/publications/medicines-prescribing-for-homeless-persons-analysis-of-prescripti
175,Microwave and Terahertz Sensing,"Qammer H. Abbasi, Hasan T Abbas, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>, Adana Zahid, Muhammad Ali Imran , Akram Alomainy ",2022-01-01,https://pureportal.coventry.ac.uk/en/publications/microwave-and-terahertz-sensing
176,"Modified Mediterranean diet vs. Traditional Iranian diet: Efficacy of dietary interventions on dietary inflammatory index score, fatigue severity and disability in multiple sclerosis patients","Jalal Bohlouli, Iman Namjoo, Mohammad Borzoo-Isfahani, Fariborz Poorbaferani, Amir Reza Moravejolahkami, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Mohammad Ali Hojjati Kermani",2022-10-14,https://pureportal.coventry.ac.uk/en/publications/modified-mediterranean-diet-vs-traditional-iranian-diet-efficacy-
177,Monitoring Discrete Activities of Daily Living of Young & Older Adults using 5.8 GHz Frequency Modulated Continuous Wave Radar and ResNet Algorithm,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/umer-saeed"" rel=""Person""><span>Umer Saeed</span></a>, Fehaid Alqahtani, Fatmah Baothman, Syed Yaseen Shah, Syed Ikram Shah, Syed Salman Badshah, Muhammad Ali Imran , Qammer H. Abbasi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>",2022-01-01,https://pureportal.coventry.ac.uk/en/publications/monitoring-discrete-activities-of-daily-living-of-young-amp-older
178,Motor Competence Among Children in the United Kingdom and Ireland: An Expert Statement on Behalf of the International Motor Development Research Consortium,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/michael-duncan"" rel=""Person""><span>Michael Duncan</span></a>, Lawrence Foweather, Farid Bardid, Anna Barnett, James Rudd, Wesley O'Brien, Jonathan Foulkes, Clare M P Roscoe, Johann Issartel, Gareth Stratton, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain Clark</span></a>",2022-04-01,https://pureportal.coventry.ac.uk/en/publications/motor-competence-among-children-in-the-united-kingdom-and-ireland
179,Motor Competence Interventions in Children and Adolescents - Theoretical and Atheoretical Approaches: A Systematic Review,"Zeinab Khodaverdi, Wesley O'Brien, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/michael-duncan"" rel=""Person""><span>Michael Duncan</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain Clark</span></a>",2022-01-01,https://pureportal.coventry.ac.uk/en/publications/motor-competence-interventions-in-children-and-adolescents-theore
180,Movement behaviors in short versus adequate nocturnal sleepers: A compositional analysis of preschoolers,"Alesandra Araújo de Souza, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Jorge Mota, Rafael Miranda Tassitano, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/michael-duncan"" rel=""Person""><span>Michael J. Duncan</span></a>, Clarice M.de L. Martins",2022-05-01,https://pureportal.coventry.ac.uk/en/publications/movement-behaviors-in-short-versus-adequate-nocturnal-sleepers-a-
181,"Multi-disciplinary Evaluation of Sexual Assault Referral Centres (SARCs) for better Health (MESARCH): protocol for a 1-year cohort study examining health, well-being and cost outcomes in adult survivors of sexual assault attending SARCs in England","<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty"" rel=""Person""><span>Lorna O'Doherty</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/grace-carter"" rel=""Person""><span>Grace Carter</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/eleanor-lutman-white"" rel=""Person""><span>Eleanor Lutman-White</span></a>, Rachel Caswell, Louise Jackson, Gene S. Feder, Jon Heron, Richard W. Morris, Katherine Brown",2022-05-24,https://pureportal.coventry.ac.uk/en/publications/multi-disciplinary-evaluation-of-sexual-assault-referral-centres-
182,Multiple Participants’ Discrete Activity Recognition in a Well-Controlled Environment Using Universal Software Radio Peripheral Wireless Sensing,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/umer-saeed"" rel=""Person""><span>Umer Saeed</span></a>, Syed Yaseen Shah, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Abdullah Alhumaidi Alotaibi, Turke Althobaiti, Naeem Ramzan, Sana Ullah Jan, Ahmad Jawad, Qammer H. Abbasi",2022-01-21,https://pureportal.coventry.ac.uk/en/publications/multiple-participants-discrete-activity-recognition-in-a-well-con
183,Negotiating ideologies and the moral order in child protection social work,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/eleanor-lutman-white"" rel=""Person""><span>Eleanor Lutman-White</span></a>, Jo Angouri",2022-06-01,https://pureportal.coventry.ac.uk/en/publications/negotiating-ideologies-and-the-moral-order-in-child-protection-so
184,Neural Entrainment to Rhythms of Imagined Syllables,"Changjie Pan, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2"" rel=""Person""><span>Dingchang Zheng</span></a>, Fei Chen",8 Sept 2022,https://pureportal.coventry.ac.uk/en/publications/neural-entrainment-to-rhythms-of-imagined-syllables
185,Novel Privacy Preserving Non-Invasive Sensing-Based Diagnoses of Pneumonia Disease Leveraging Deep Network Model,"Mujeeb Ur  Rehman, Arslan Shafique, Kashif Hesham Khan, Sohail Khalid, Abdullah Alhumaidi Alotaibi, Turke Althobaiti, Naeem Ramzan, Ahmad Jawad, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>, Qammer H. Abbasi",2022-01-08,https://pureportal.coventry.ac.uk/en/publications/novel-privacy-preserving-non-invasive-sensing-based-diagnoses-of-
186,Novel pulse device for diagnosis of peripheral arterial disease (NOTEPAD): ISRCTN13301188,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/john-allen"" rel=""Person""><span>John Allen</span></a>",2022-10-24,https://pureportal.coventry.ac.uk/en/publications/novel-pulse-device-for-diagnosis-of-peripheral-arterial-disease-n
187,Nurse-led mental and physical healthcare for the homeless community: A qualitative evaluation,"Lauren Bell, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/maxine-whelan"" rel=""Person""><span>Maxine Whelan</span></a>, Emily Fernandez, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/deborah-lycett"" rel=""Person""><span>Deborah Lycett</span></a>",2022-11-01,https://pureportal.coventry.ac.uk/en/publications/nurse-led-mental-and-physical-healthcare-for-the-homeless-communi
188,Nutritional interventions in older people with COVID-19: an overview of the evidence,"Stacey Jones, Elizabeth Archer, Cecilia Morais, Robert Speer, Amalia Tsagari, Harriet Jager-Wittenaar, Mar Ruperto",2022-02-01,https://pureportal.coventry.ac.uk/en/publications/nutritional-interventions-in-older-people-with-covid-19-an-overvi
189,O8-1 24-Hour Movement Behavior and Fundamental Movement Skills in Pre-School Children: A Compositional Analysis,"Clarice Lucena Martins, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain Craig Truman Clark</span></a>, Jéssica Gomes Mota, Thaynã Alves Bezerra, Luís Filipe Gomes Lemos, Cézane Priscilla Reuter, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/michael-duncan"" rel=""Person""><span>Michael Duncan</span></a>, Jorge Mota",2022-08-27,https://pureportal.coventry.ac.uk/en/publications/o8-1-24-hour-movement-behavior-and-fundamental-movement-skills-in
190,Obesity Paradox: Does It Lengthen Survival in Iranian COVID Patients?,"Razieh Khalooeifard, Amirhossein Hemmati, Neda Izadi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain Clark</span></a>, Seyed Mohammad Reza Hashemian, Masoumeh Hosseinzadeh Emam, Omid Moradi Moghaddam, Ali Amirsavadkouhi",2022-07-01,https://pureportal.coventry.ac.uk/en/publications/obesity-paradox-does-it-lengthen-survival-in-iranian-covid-patien
191,Older Individuals Convicted of Sexual Offenses: A Literature Review,"Rebecca Crookes, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano"" rel=""Person""><span>Carlo Tramontano</span></a>, Sarah Brown, Kate Walker, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/hayley-wright"" rel=""Person""><span>Hayley Wright</span></a>",2022-04-01,https://pureportal.coventry.ac.uk/en/publications/older-individuals-convicted-of-sexual-offenses-a-literature-revie
192,Optimizing Motor Learning: Difficulty Manipulation Combined with Feedback- Frequency Enhance Under-Time-Pressure Fine-Motor-Coordination Skill Acquisition and Retention,"Yousri Elghoul, Fatma Bahri, Khaled Trabelsi, Hamdi Chtourou, Mohamed Frikha, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Jordan M. Glenn, Nicola Bragazzi, Nizar Souissi",2022-01-01,https://pureportal.coventry.ac.uk/en/publications/optimizing-motor-learning-difficulty-manipulation-combined-with-f
193,Parents' Experiences of Children's Healthcare for Hypermobile Ehlers-Danlos Syndrome and Hypermobility Spectrum Disorders,"Lauren Bell, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/gemma-pearce"" rel=""Person""><span>Gemma Pearce</span></a>",2022-01-02,https://pureportal.coventry.ac.uk/en/publications/parents-experiences-of-childrens-healthcare-for-hypermobile-ehler
194,Partial sleep restriction impairs static postural control in elite judo athletes,"Nafaa Souissi, Amira Zouita, Salma Abedelmalek, Khaled Trabelsi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Katherine Dziri, Hamdi Chtourou, Nizar Souissi",2022-04-03,https://pureportal.coventry.ac.uk/en/publications/partial-sleep-restriction-impairs-static-postural-control-in-elit
195,Performance assessment of an improved gasifier stove using biomass pellets: An experimental and numerical investigation,"Himanshu, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/om-kurmi"" rel=""Person""><span>O. P. Kurmi</span></a>, Sanjeev Jain, S. K. Tyagi",2022-10-01,https://pureportal.coventry.ac.uk/en/publications/performance-assessment-of-an-improved-gasifier-stove-using-biomas
196,"Personalized wearable electrodermal sensing-based human skin hydration level detection for sports, health and wellbeing","Sidrah Liaqat, Kia Dashtipour, Ali Rizwan, Muhammad Usman, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>, Kamran Arshad, Khaled Assaleh, Naeem Ramzan",2022-03-08,https://pureportal.coventry.ac.uk/en/publications/personalized-wearable-electrodermal-sensing-based-human-skin-hydr
197,Photoplethysmography temporal marker-based machine learning classifier for anesthesia drug detection,"Syed Ghufran Khalid, Syed Mehmood Ali, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Aisha Ghazal Qurashi, Uzma Ali",2022-11-01,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-temporal-marker-based-machine-learning-class
198,"Physical exercise, Sedentary Behaviour, Sleep and Depression Symptoms in Chinese Young Adults During the COVID-19 Pandemic: A Compositional Isotemporal Analysis","Jianjun Su, Enxiu Wei, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain Clark</span></a>, Kaixin Liang, Xiaojiao Sun",2022-07-27,https://pureportal.coventry.ac.uk/en/publications/physical-exercise-sedentary-behaviour-sleep-and-depression-sympto
199,Physiological responses of small-sided vs. regular games in youth volleyball players,"Jamel Halouani, Cyrine H'mida, Khaled Trabelsi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C T Clark</span></a>, Jordan M Glenn, Hamdi Chtourou",2022-05-10,https://pureportal.coventry.ac.uk/en/publications/physiological-responses-of-small-sided-vs-regular-games-in-youth-
200,Potential risk factors of persistent postural-perceptual dizziness: a pilot study,"Ling Li, Songbin He, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Meilun Pan, Fangyu Dai",2022-06-01,https://pureportal.coventry.ac.uk/en/publications/potential-risk-factors-of-persistent-postural-perceptual-dizzines
201,Probiotics supplementation and brain-derived neurotrophic factor (BDNF): a systematic review and meta-analysis of randomized controlled trials,"Fereshteh Dehghani, Shima Abdollahi, Farzad Shidfar, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C T Clark</span></a>, Sepideh Soltani",2022-08-22,https://pureportal.coventry.ac.uk/en/publications/probiotics-supplementation-and-brain-derived-neurotrophic-factor-
202,Prospective assessment of the diagnostic accuracy of multi-site photoplethysmography pulse measurements for diagnosis of peripheral artery disease in primary care,"Gerard Stansby, Andrew J. Sims, Lesley Wilson, Thomas A. W. Beale, James Wightman, Ina Guri, Scott Wilkes, Shona Haining, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/john-allen"" rel=""Person""><span>John Allen</span></a>, NOTEPAD Study Team",2022-08-18,https://pureportal.coventry.ac.uk/en/publications/prospective-assessment-of-the-diagnostic-accuracy-of-multi-site-p
203,Protocol update for a randomised controlled feasibility trial of exercise rehabilitation for people with postural tachycardia syndrome: the PULSE study,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/gordon-mcgregor"" rel=""Person""><span>Gordon McGregor</span></a>, Becky Evans, Harbinder Sandhu, Jane Simmonds, Shivam Joshi, Gita Devi, Albiona Zhupaj, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/nikki-holliday"" rel=""Person""><span>Nikki Holliday</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/gemma-pearce"" rel=""Person""><span>Gemma Pearce</span></a>, Chloe Patel, Siew Wan Hee, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/richard-james-powell"" rel=""Person""><span>Richard Powell</span></a>, Peter Heine, Shilpa Patel, Lesley Kavi, Julie Bruce, Sajad Hayat, Boon Lim, Helen Eftekhari, Sandeep Panikker",2022-05-07,https://pureportal.coventry.ac.uk/en/publications/protocol-update-for-a-randomised-controlled-feasibility-trial-of-
204,Ramadan observance is associated with higher fatigue and lower vigor in athletes: a systematic review and meta-analysis with meta-regression,"Khaled Trabelsi, Achraf Ammar, Mohamed Ali Boujelbane, Aimen Khacharem, Yousri Elghoul, Omar Boukhris, Abdul Rashid Aziz, Morteza Taheri, Khadijeh Irandoust, Saber Khanfir, Hamdi Chtourou, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Peter C. Terry",2022-08-24,https://pureportal.coventry.ac.uk/en/publications/ramadan-observance-is-associated-with-higher-fatigue-and-lower-vi
205,Real-Time Human Activity Recognition System Exploiting Ubiquitous Wi-Fi Signals,"Yao Ge, Kia Dashtipour, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>, Jonathan Cooper, Muhammad Ali Imran, Qammer H. Abbasi",2022-02-16,https://pureportal.coventry.ac.uk/en/publications/real-time-human-activity-recognition-system-exploiting-ubiquitous
206,Regional identification of information flow termination of electrohysterographic signals: Towards understanding human uterine electrical propagation,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/yuhang-xu"" rel=""Person""><span>Yuhang Xu</span></a>, Dongmei Hao, Michael J. Taggart, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2"" rel=""Person""><span>Dingchang Zheng</span></a>",2022-08-01,https://pureportal.coventry.ac.uk/en/publications/regional-identification-of-information-flow-termination-of-electr
207,Relationship between the double burden of malnutrition and mental health in overweight and obese adult women,"Mohammad Gholizadeh, Leila Setayesh, Habib Yarizadeh, Atieh Mirzababaei, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Khadijeh Mirzaei",2022-02-21,https://pureportal.coventry.ac.uk/en/publications/relationship-between-the-double-burden-of-malnutrition-and-mental
208,Reliability and Validity of a New Taekwondo-Specific Change-of-Direction Speed Test With Striking Techniques in Elite Taekwondo Athletes: A Pilot Study,"Ali Aloui, Amel Tayech, Mohamed Arbi Mejri, Issam Makhlouf, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C T Clark</span></a>, Urs Granacher, Hassane Zouhal, Abderraouf Ben Abderrahman",2022-04-26,https://pureportal.coventry.ac.uk/en/publications/reliability-and-validity-of-a-new-taekwondo-specific-change-of-di
209,Reliable Detection of Myocardial Ischemia Using Machine Learning Based on Temporal-Spatial Characteristics of Electrocardiogram and Vectorcardiogram,"Xiaoye Zhao, Jucheng Zhang, Yinglan Gong, Lihua Xu, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Shujun Wei, Yuan Wu, Ganhua Cha, Haicheng Wei, Jiandong Mao, Ling Xia",2022-05-30,https://pureportal.coventry.ac.uk/en/publications/reliable-detection-of-myocardial-ischemia-using-machine-learning-
210,"Religious fasting and its impacts on individual, public, and planetary health: Fasting as a “religious health asset” for a healthier, more equitable, and sustainable society","Khaled Trabelsi, Achraf Ammar, Mohamed Ali Boujelbane, Luca Puce, Sergio Garbarino, Egeria Scoditti, Omar Boukhris, Saber Khanfir, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Jordan M. Glenn, Omar A. Alhaj, Haitham Jahrami, Hamdi Chtourou, Nicola Luigi Bragazzi",2022-11-24,https://pureportal.coventry.ac.uk/en/publications/religious-fasting-and-its-impacts-on-individual-public-and-planet
211,Responses of some matrix metalloproteinases activities to an acute session of endurance exercise and electrical stimulation in induced myocardial infarction in Wistar rats,"M. Sayyah, M. Malekipooya, M. Khansooz, M. S. Pourabbasi, K. Irandoust, M. Taheri, C. H’Mida, J. Halouani, K. Trabelsi, H. Chtourou, N. L. Bragazzi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>C. C.T. Clark</span></a>",2022-06-10,https://pureportal.coventry.ac.uk/en/publications/responses-of-some-matrix-metalloproteinases-activities-to-an-acut
212,Retinal microvascular associations with cardiometabolic risk factors differ by diabetes status: results from the UK Biobank,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/robyn-tapp"" rel=""Person""><span>Robyn J. Tapp</span></a>, Christopher G. Owen, Sarah A. Barman, David P. Strachan, Roshan A. Welikala, Paul J. Foster, Peter H. Whincup, Alicja R. Rudnicka",2022-10-01,https://pureportal.coventry.ac.uk/en/publications/retinal-microvascular-associations-with-cardiometabolic-risk-fact
213,RF Based Real Time Human Motion Sensing,"William Taylor, Ahmad Taha, Kia Dashtipour, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>, Qammer H. Abbasi, Muhammad Ali Imran",2022-02-16,https://pureportal.coventry.ac.uk/en/publications/rf-based-real-time-human-motion-sensing
214,RL-Recruiter+: Mobility-Predictability-Aware Participant Selection Learning for From-Scratch Mobile Crowdsensing,"Yunfan Hu, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang"" rel=""Person""><span>Jiangtao Wang</span></a>, Bo Wu, Sumi Helal",2022-12-01,https://pureportal.coventry.ac.uk/en/publications/rl-recruiter-mobility-predictability-aware-participant-selection-
215,Sommeil et somnolence diurne chez des athlètes élites et des sujets sédentaires,"M. Jemal, K. Trabelsi, O. Boukhris, A. Ammar, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>C. C.T. Clark</span></a>, H. Chtourou",2022-02-01,https://pureportal.coventry.ac.uk/en/publications/sommeil-et-somnolence-diurne-chez-des-athl%C3%A8tes-%C3%A9lites-et-des-suje
216,Sources of automatic office blood pressure measurement error: a systematic review,"Jian Liu, Yumin Li, Jianqing Li, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2"" rel=""Person""><span>Dingchang Zheng</span></a>, Chengyu Liu",30 Sept 2022,https://pureportal.coventry.ac.uk/en/publications/sources-of-automatic-office-blood-pressure-measurement-error-a-sy
